INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTIDX    ,FINNIFTY  ,30/09/2021,00018408.05,00018471.25,00018210.00,00018258.75,000000000000640,       80715870.00,             4400,              110,              108
FUTIDX    ,FINNIFTY  ,28/10/2021,00018338.75,00018582.85,00018338.75,00018426.65,000000000002480,       38324552.00,             2080,              052,              042
FUTIDX    ,NIFTY     ,30/09/2021,00017697.30,00017740.20,00017580.50,00017621.75,000000005253700,   157487507670.00,          8914200,           178284,           106516
FUTIDX    ,NIFTY     ,28/10/2021,00017719.00,00017757.75,00017604.00,00017623.15,000000011668250,   160543575257.50,          9082400,           181648,           106573
FUTIDX    ,NIFTY     ,25/11/2021,00017780.00,00017787.00,00017637.00,00017656.85,000000000555500,     6229178677.50,           351900,             7038,             5029
FUTSTK    ,AARTIIND  ,30/09/2021,00000940.95,00000946.00,00000923.80,00000926.60,000000000532950,     1215580495.00,          1304750,             1535,             1348
FUTSTK    ,AARTIIND  ,28/10/2021,00000940.50,00000949.65,00000928.60,00000932.05,000000002733600,     1648431732.50,          1760350,             2071,             1832
FUTSTK    ,AARTIIND  ,25/11/2021,00000940.10,00000948.00,00000932.30,00000933.95,000000000092650,       39836355.00,            42500,              050,              050
FUTSTK    ,ABFRL     ,30/09/2021,00000228.60,00000249.85,00000228.60,00000246.70,000000003803800,     1350455730.00,          5571800,             2143,             2018
FUTSTK    ,ABFRL     ,28/10/2021,00000231.10,00000250.30,00000229.00,00000247.30,000000009830600,     4444280100.00,         18236400,             7014,             6328
FUTSTK    ,ABFRL     ,25/11/2021,00000233.60,00000250.80,00000233.60,00000247.90,000000000085800,       61707490.00,           252200,              097,              093
FUTSTK    ,ACC       ,30/09/2021,00002262.65,00002277.90,00002247.00,00002254.30,000000000523000,     1562325550.00,           690500,             1381,             1328
FUTSTK    ,ACC       ,28/10/2021,00002278.20,00002286.00,00002258.00,00002262.40,000000002889000,     2255317150.00,           993500,             1987,             1865
FUTSTK    ,ACC       ,25/11/2021,00002290.00,00002296.85,00002265.95,00002270.05,000000000015500,       27282000.00,            12000,              024,              022
FUTSTK    ,ADANIENT  ,30/09/2021,00001485.70,00001519.00,00001463.10,00001468.05,000000001378000,     9668627850.00,          6492000,             6492,             5715
FUTSTK    ,ADANIENT  ,28/10/2021,00001495.00,00001525.00,00001470.00,00001474.95,000000026359000,    15597675250.00,         10434000,            10434,             8948
FUTSTK    ,ADANIENT  ,25/11/2021,00001502.75,00001527.00,00001477.40,00001480.85,000000000191000,      213070550.00,           142000,              142,              141
FUTSTK    ,ADANIPORTS,30/09/2021,00000714.20,00000756.00,00000714.20,00000736.45,000000006502500,     8315947125.00,         11193750,             8955,             8023
FUTSTK    ,ADANIPORTS,28/10/2021,00000742.50,00000759.90,00000738.25,00000739.95,000000088968750,    11659582437.50,         15612500,            12490,            11005
FUTSTK    ,ADANIPORTS,25/11/2021,00000752.25,00000762.85,00000741.50,00000743.00,000000000603750,      250119250.00,           333750,              267,              256
