INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,NIFTY     ,07/10/2021,00014750.00,CE      ,00002902.25,00002962.25,00002902.25,00002923.55,000000000001650,              150,              003,              003,        2651902.50,         439402.50
OPTIDX    ,NIFTY     ,07/10/2021,00014750.00,PE      ,00000000.50,00000000.80,00000000.35,00000000.45,000000000156900,           352100,             7042,             3399,     5193671880.00,         196880.00
OPTIDX    ,NIFTY     ,07/10/2021,00014800.00,PE      ,00000001.40,00000001.40,00000000.35,00000000.40,000000000039700,           302700,             6054,             4779,     4480148665.00,         188665.00
OPTIDX    ,NIFTY     ,07/10/2021,00014850.00,PE      ,00000000.75,00000001.65,00000000.40,00000000.60,000000000075550,            43950,              879,              122,      652687237.50,          29737.50
OPTIDX    ,NIFTY     ,07/10/2021,00014900.00,PE      ,00000000.70,00000000.95,00000000.35,00000000.50,000000000006600,            83850,             1677,             1396,     1249420632.50,          55632.50
OPTIDX    ,NIFTY     ,07/10/2021,00014950.00,PE      ,00000000.75,00000000.80,00000000.50,00000000.65,000000000001850,             1500,              030,              005,       22426180.00,           1180.00
OPTIDX    ,NIFTY     ,07/10/2021,00015000.00,PE      ,00000000.95,00000001.00,00000000.40,00000000.55,000000000418000,           308450,             6169,             2624,     4626953197.50,         203197.50
OPTIDX    ,NIFTY     ,07/10/2021,00015050.00,PE      ,00000001.10,00000001.10,00000000.40,00000000.65,000000000005550,           332500,             6650,             6291,     5004345122.50,         220122.50
OPTIDX    ,NIFTY     ,07/10/2021,00015100.00,PE      ,00000002.00,00000002.00,00000000.50,00000000.65,000000000001350,            51350,             1027,              735,      775426727.50,          41727.50
OPTIDX    ,NIFTY     ,07/10/2021,00015150.00,PE      ,00000000.90,00000001.10,00000000.35,00000000.90,000000000000200,           131450,             2629,             2320,     1991558437.50,          90937.50
OPTIDX    ,NIFTY     ,07/10/2021,00015200.00,PE      ,00000001.10,00000001.20,00000000.55,00000000.60,000000000004800,            25350,              507,              104,      385341350.00,          21350.00
OPTIDX    ,NIFTY     ,07/10/2021,00015250.00,PE      ,00000001.00,00000001.00,00000000.50,00000000.60,000000000000250,             4300,              086,              047,       65578260.00,           3260.00
OPTIDX    ,NIFTY     ,07/10/2021,00015300.00,PE      ,00000000.90,00000001.15,00000000.60,00000000.65,000000000003100,            21950,              439,              084,      335853210.00,          18210.00
OPTIDX    ,NIFTY     ,07/10/2021,00015350.00,PE      ,00000001.00,00000001.10,00000000.50,00000000.60,000000000009250,             9200,              184,              042,      141227897.50,           7897.50
OPTIDX    ,NIFTY     ,07/10/2021,00015400.00,PE      ,00000001.90,00000001.90,00000000.60,00000000.65,000000000015050,            29950,              599,              093,      461254972.50,          24972.50
OPTIDX    ,NIFTY     ,07/10/2021,00015450.00,PE      ,00000001.10,00000001.10,00000000.50,00000000.50,000000000002650,              400,              008,              006,        6180315.00,            315.00
OPTIDX    ,NIFTY     ,07/10/2021,00015500.00,CE      ,00002200.00,00002200.00,00002200.00,00002200.00,000000000001600,              050,              001,              001,         885000.00,         110000.00
OPTIDX    ,NIFTY     ,07/10/2021,00015500.00,PE      ,00000001.15,00000001.15,00000000.45,00000000.60,000000000434050,           495200,             9904,             7876,     7675956215.00,         356215.00
OPTIDX    ,NIFTY     ,07/10/2021,00015550.00,PE      ,00000000.95,00000000.95,00000000.75,00000000.85,000000000000050,             2350,              047,              028,       36544435.00,           1935.00
OPTIDX    ,NIFTY     ,07/10/2021,00015600.00,PE      ,00000001.00,00000001.50,00000000.65,00000000.75,000000000015400,           243100,             4862,             4360,     3792542292.50,         182292.50
OPTIDX    ,NIFTY     ,07/10/2021,00015650.00,PE      ,00000000.95,00000001.00,00000000.75,00000000.90,000000000000200,             1550,              031,              018,       24258865.00,           1365.00
OPTIDX    ,NIFTY     ,07/10/2021,00015700.00,PE      ,00000001.40,00000001.40,00000000.60,00000000.75,000000000006100,            94900,             1898,             1372,     1490015865.00,          85865.00
OPTIDX    ,NIFTY     ,07/10/2021,00015750.00,CE      ,00001987.55,00002118.80,00001987.55,00002053.20,000000000000100,              200,              004,              002,        3560635.00,         410635.00
OPTIDX    ,NIFTY     ,07/10/2021,00015750.00,PE      ,00000001.00,00000001.05,00000000.45,00000000.80,000000000000200,            62900,             1258,             1247,      990737535.00,          62535.00
OPTIDX    ,NIFTY     ,07/10/2021,00015800.00,CE      ,00001970.25,00001998.15,00001970.25,00001998.15,000000000000600,              100,              002,              002,        1778420.00,         198420.00
OPTIDX    ,NIFTY     ,07/10/2021,00015800.00,PE      ,00000000.85,00000001.30,00000000.50,00000000.60,000000000132450,           296200,             5924,              831,     4680162130.00,         202130.00
OPTIDX    ,NIFTY     ,07/10/2021,00015900.00,CE      ,00001840.00,00001872.25,00001840.00,00001872.25,000000000000850,              150,              003,              003,        2663112.50,         278112.50
OPTIDX    ,NIFTY     ,07/10/2021,00015900.00,PE      ,00000001.50,00000001.70,00000000.75,00000000.80,000000000025500,            92050,             1841,             1254,     1463689020.00,          94020.00
OPTIDX    ,NIFTY     ,07/10/2021,00015950.00,PE      ,00000002.00,00000002.00,00000000.45,00000000.80,000000000004750,           217250,             4345,             4124,     3465367825.00,         230325.00
OPTIDX    ,NIFTY     ,07/10/2021,00016000.00,CE      ,00001673.55,00001820.00,00001673.55,00001820.00,000000000013000,              550,              011,              010,        9763365.00,         963365.00
OPTIDX    ,NIFTY     ,07/10/2021,00016000.00,PE      ,00000002.00,00000002.00,00000000.75,00000000.85,000000000794700,           996550,            19931,             4313,    15945804170.00,        1004170.00
OPTIDX    ,NIFTY     ,07/10/2021,00016050.00,PE      ,00000001.45,00000001.45,00000000.80,00000001.10,000000000014700,            15700,              314,              155,      252001940.00,          16940.00
OPTIDX    ,NIFTY     ,07/10/2021,00016100.00,PE      ,00000001.30,00000001.35,00000000.85,00000000.95,000000000098300,           241100,             4822,             1315,     3881965432.50,         255432.50
OPTIDX    ,NIFTY     ,07/10/2021,00016150.00,PE      ,00000001.30,00000001.30,00000000.85,00000001.05,000000000008800,            14650,              293,              142,      236612497.50,          14997.50
OPTIDX    ,NIFTY     ,07/10/2021,00016200.00,PE      ,00000001.30,00000001.40,00000000.90,00000001.05,000000000178000,           361900,             7238,             2200,     5863187730.00,         407730.00
OPTIDX    ,NIFTY     ,07/10/2021,00016250.00,PE      ,00000001.15,00000001.55,00000000.75,00000000.95,000000000016850,            42800,              856,              370,      695547195.00,          47195.00
OPTIDX    ,NIFTY     ,07/10/2021,00016300.00,CE      ,00001470.00,00001475.00,00001470.00,00001475.00,000000000002500,              200,              004,              004,        3554720.00,         294720.00
OPTIDX    ,NIFTY     ,07/10/2021,00016300.00,PE      ,00000001.30,00000001.50,00000001.00,00000001.10,000000000220300,           867450,            17349,             3925,    14140452357.50,        1017357.50
OPTIDX    ,NIFTY     ,07/10/2021,00016350.00,PE      ,00000001.50,00000001.70,00000000.90,00000001.10,000000000019350,            67600,             1352,              575,     1105347160.00,          87160.00
OPTIDX    ,NIFTY     ,07/10/2021,00016400.00,CE      ,00001365.00,00001365.00,00001364.00,00001364.85,000000000002800,              300,              006,              006,        5329432.50,         409432.50
OPTIDX    ,NIFTY     ,07/10/2021,00016400.00,PE      ,00000001.40,00000001.85,00000000.95,00000001.15,000000000399600,          1956950,            39139,             8346,    32096513480.00,        2533480.00
OPTIDX    ,NIFTY     ,07/10/2021,00016450.00,PE      ,00000001.70,00000001.95,00000001.05,00000001.20,000000000029450,            63900,             1278,              384,     1051248827.50,          93827.50
OPTIDX    ,NIFTY     ,07/10/2021,00016500.00,CE      ,00001170.00,00001317.60,00001153.55,00001317.60,000000000006350,              750,              015,              010,       13289045.00,         914045.00
OPTIDX    ,NIFTY     ,07/10/2021,00016500.00,PE      ,00000001.75,00000002.15,00000001.15,00000001.25,000000001788650,          5356300,           107126,            23798,    88386689415.00,        7739415.00
OPTIDX    ,NIFTY     ,07/10/2021,00016550.00,PE      ,00000002.00,00000002.15,00000001.15,00000001.25,000000000146800,           136800,             2736,              779,     2264249045.00,         209045.00
OPTIDX    ,NIFTY     ,07/10/2021,00016600.00,CE      ,00001052.00,00001155.00,00001052.00,00001155.00,000000000005400,              550,              011,              011,        9722615.00,         592615.00
